trial,seed,player_names,map,skills,scores,player_states,distances_from_target,distance_source_to_target,start,target,penalties,timeout_count,error_count,winner_list,total_time_sorted,landing_history,ending_history,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.15948E+19,['Group 1'],maps/g4/n.json,[10],[10],['F'],[834.313812359179],834.3138124,"[97.8858032226563, 470.65185546875]","[856.45654296875, 123.304809570312]",[0],[1],[0],[],"[('Group 1', 600.0859405994415)]",{0: []},{0: []},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1.05536E+19,['Group 1'],maps/g4/n.json,[10],[10],['F'],[834.313812359179],834.3138124,"[97.8858032226563, 470.65185546875]","[856.45654296875, 123.304809570312]",[0],[1],[0],[],"[('Group 1', 600.1223258972168)]",{0: []},{0: []},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1.39476E+19,['Group 1'],maps/g4/n.json,[10],[10],['F'],[834.313812359179],834.3138124,"[97.8858032226563, 470.65185546875]","[856.45654296875, 123.304809570312]",[0],[1],[0],[],"[('Group 1', 600.0984723567963)]",{0: []},{0: []},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1.38695E+18,['Group 1'],maps/g4/n.json,[10],[10],['F'],[834.313812359179],834.3138124,"[97.8858032226563, 470.65185546875]","[856.45654296875, 123.304809570312]",[0],[1],[0],[],"[('Group 1', 600.1089587211609)]",{0: []},{0: []5,5,6.47711E+18,['Group 1'],maps/g4/n.json,[10],[10],['F'],[834.313812359179],834.3138124,"[97.8858032226563, 470.65185546875]","[856.45654296875, 123.304809570312]",[0],[1],[0],[],"[('Group 1', 600.0748872756958)]",{0: []},{0: []},,,,,,,,,,,,,,,,
1,2.44544E+18,['Group 1'],maps/g4/n.json,[25],[10],['F'],[834.313812359179],834.3138124,"[97.8858032226563, 470.65185546875]","[856.45654296875, 123.304809570312]",[0],[1],[0],[],"[('Group 1', 600.0659546852112)]",{0: []},{0: []},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1.02478E+19,['Group 1'],maps/g4/n.json,[25],[10],['F'],[834.313812359179],834.3138124,"[97.8858032226563, 470.65185546875]","[856.45654296875, 123.304809570312]",[0],[1],[0],[],"[('Group 1', 600.0751643180847)]",{0: []},{0: []},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2.46165E+18,['Group 1'],maps/g4/n.json,[25],[10],['F'],[834.313812359179],834.3138124,"[97.8858032226563, 470.65185546875]","[856.45654296875, 123.304809570312]",[0],[1],[0],[],"[('Group 1', 600.0790486335754)]",{0: []},{0: [4,14,7.10995E+18,['Group 1'],maps/g4/n.json,[25],[10],['F'],[834.313812359179],834.3138124,"[97.8858032226563, 470.65185546875]","[856.45654296875, 123.304809570312]",[0],[1],[0],[],"[('Group 1', 600.0744638442993)]",{0: []},{0: []},,,,,,,,,,,,,,,,
5,4.49344E+18,['Group 1'],maps/g4/n.json,[25],[10],['F'],[834.313812359179],834.3138124,"[97.8858032226563, 470.65185546875]","[856.45654296875, 123.304809570312]",[0],[1],[0],[],"[('Group 1', 600.069650888443)]",{0: []},{0: []},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.8132E+19,['Group 1'],maps/g4/n.json,[50],[10],['F'],[595.4291782754323],834.3138124,"[97.8858032226563, 470.65185546875]","[856.45654296875, 123.304809570312]",[0],[1],[0],[],"[('Group 1', 600.3257350921631)]","{0: [(269.52428191905, 312.077963476077)]}","{0: [(286.68812978869, 296.22057427681)]}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1.2272E+19,['Group 1'],maps/g4/n.json,[50],[10],['F'],[598.2287170487035],834.3138124,"[97.8858032226563, 470.65185546875]","[856.45654296875, 123.304809570312]",[0],[1],[0],[],"[('Group 1', 600.3769550323486)]","{0: [(267.107265536934, 312.877465339696)]}","{0: [(284.029411768362, 297.100026326791)]}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
