trial,seed,player_names,map,skills,scores,player_states,distances_from_target,distance_source_to_target,start,target,penalties,timeout_count,error_count,winner_list,total_time_sorted,landing_history,ending_history
1,1.22864E+19,['Group 1'],maps/g1/tournament.json,[10],[10],['F'],[593.4053840470663],611.8823416,"[100.0, 240.0]","[700.0, 120.0]",[0],[1],[0],[],"[('Group 1', 600.6380548477173)]","{0: [(122.313920738628, 85.3320875575404), (117.290446904705, 16.968389529624)]}","{0: [(124.545312812491, 69.8652963132944), (116.564960313927, 11.678698851257)]}"
2,1.4749E+19,['Group 1'],maps/g1/tournament.json,[10],[10],['F'],[589.8453719594355],611.8823416,"[100.0, 240.0]","[700.0, 120.0]",[0],[1],[0],[],"[('Group 1', 600.6561696529388)]","{0: [(136.493299610642, 90.2300212913433), (122.50461862405, 14.796547197512)]}","{0: [(140.142629571706, 75.2530234204776), (120.740817529285, 8.75089957521546)]}"
3,1.3733E+19,['Group 1'],maps/g1/tournament.json,[10],[10],['F'],[594.3420635995798],611.8823416,"[100.0, 240.0]","[700.0, 120.0]",[1],[1],[0],[],"[('Group 1', 600.0828912258148)]","{0: [(131.547227315206, 76.1389410261154), (134.701950046727, 59.7528351287269), (119.3878136252, 5.61663536070332)]}","{0: [(134.701950046727, 59.7528351287269), (134.701950046727, 59.7528351287269), (117.856399983048, 0.203015383900954)]}"
4,1.34615E+19,['Group 1'],maps/g1/tournament.json,[10],[10],['F'],[588.3542569382954],611.8823416,"[100.0, 240.0]","[700.0, 120.0]",[1],[1],[0],[],"[('Group 1', 600.5079109668732)]","{0: [(126.264410265925, 70.1239084302978), (128.890851292518, 53.1362992733276), (123.121834816086, 11.4464194844848)]}","{0: [(128.890851292518, 53.1362992733276), (128.890851292518, 53.1362992733276), (122.544933168442, 7.27743150560054)]}"
5,6.30049E+18,['Group 1'],maps/g1/tournament.json,[10],[10],['F'],[594.5085726255612],611.8823416,"[100.0, 240.0]","[700.0, 120.0]",[0],[1],[0],[],"[('Group 1', 600.9250252246857)]","{0: [(118.074127681488, 78.5108216871257), (117.179452107435, 9.34633945888251)]}","{0: [(119.881540449637, 62.3619038558382), (116.909243273215, 4.04478301918694)]}"
1,1.11799E+19,['Group 1'],maps/g1/tournament.json,[25],[7],['S'],[0.0],611.8823416,"[100.0, 240.0]","[700.0, 120.0]",[1],[0],[0],['Group 1'],"[('Group 1', 287.86373138427734)]","{0: [(100.0, 240.0), (187.596203508818, 239.671596235811), (409.441102462246, 247.989685519459), (650.305192999702, 248.661346499227), (699.272352710773, 126.416626609639), (701.973513055108, 114.193788940542), (700.080741205849, 119.978911777266)]}","{0: [(100.0, 240.0), (196.355823859699, 239.638755859392), (430.749630322501, 248.824778485466), (672.260749267422, 248.645003300603), (701.973513055108, 114.193788940542), (700.080741205849, 119.978911777266), (700.000278868871, 120.00101515874785)]}"
2,1.38086E+19,['Group 1'],maps/g1/tournament.json,[25],[10],['F'],[231.61196508355286],611.8823416,"[100.0, 240.0]","[700.0, 120.0]",[1],[1],[0],[],"[('Group 1', 600.4420955181122)]","{0: [(100.0, 240.0), (181.34422566097, 238.659841554319), (387.365001886217, 166.135171015915), (478.289693129612, 44.3231560150996)]}","{0: [(100.0, 240.0), (189.478648227067, 238.525825709751), (407.153637252132, 158.896105546531), (485.40329871736, 32.8658610619564)]}"
3,1.71272E+19,['Group 1'],maps/g1/tournament.json,[25],[6],['S'],[0.0],611.8823416,"[100.0, 240.0]","[700.0, 120.0]",[0],[0],[0],['Group 1'],"[('Group 1', 284.71162128448486)]","{0: [(185.166904822927, 241.768583371208), (415.179125575408, 240.858177045317), (662.236312425987, 248.981547934665), (694.587938653283, 124.02566931767), (695.574024937777, 111.447760482414), (699.811302088363, 120.251782981889)]}","{0: [(193.683595305219, 241.945441708329), (437.328678602427, 240.749450579015), (684.727075808343, 249.80475767023), (695.574024937777, 111.447760482414), (699.811302088363, 120.251782981889), (699.9997047265405, 119.99977924811698)]}"
4,1.73804E+19,['Group 1'],maps/g1/tournament.json,[25],[9],['S'],[0.0],611.8823416,"[100.0, 240.0]","[700.0, 120.0]",[3],[0],[0],['Group 1'],"[('Group 1', 281.59660625457764)]","{0: [(183.045472312566, 241.854275653365), (191.350019543823, 242.039703218702), (191.350019543823, 242.039703218702), (191.350019543823, 242.039703218702), (409.420501488323, 244.063303573557), (644.663505638875, 248.484268132504), (699.638025715898, 120.162667433443), (700.456099384811, 119.247318198814), (700.272180408519, 120.173017552077)]}","{0: [(191.350019543823, 242.039703218702), (191.350019543823, 242.039703218702), (191.350019543823, 242.039703218702), (191.350019543823, 242.039703218702), (431.227549682773, 244.265663609042), (666.007101234485, 248.90612858485), (702.295289147727, 109.990324666184), (700.272180408519, 120.173017552077), (700.0008689897313, 119.99864789072197)]}"
5,7.91355E+18,['Group 1'],maps/g1/tournament.json,[25],[6],['S'],[0.0],611.8823416,"[100.0, 240.0]","[700.0, 120.0]",[0],[0],[0],['Group 1'],"[('Group 1', 291.04989194869995)]","{0: [(186.965147218273, 237.959523893471), (422.312625338538, 248.380068700067), (656.445808748014, 215.168317679064), (700.094756602058, 124.916246333707), (702.344970516766, 116.233781301799), (700.048690329387, 119.93102777423)]}","{0: [(195.661661940101, 237.755476282818), (444.977721678381, 249.442527941792), (677.592617454977, 211.740896652791), (702.344970516766, 116.233781301799), (700.048690329387, 119.93102777423), (699.9998861920922, 119.99991937628688)]}"
